vehicle_age,mileage_km,engine_temp,tyre_health,fuel_level,maintenance_score,breakdown
1,25000,78,95,90,95,0
2,40000,82,90,80,90,0
3,65000,90,75,65,75,1
5,120000,98,55,40,50,1
7,180000,105,35,25,35,1
1,18000,76,96,92,97,0
2,45000,84,88,82,88,0
4,85000,92,70,60,68,1
6,150000,100,45,35,42,1
8,220000,108,25,18,25,1
1,30000,79,94,89,93,0
3,70000,91,73,62,72,1
5,110000,97,58,45,55,1
2,38000,81,91,84,89,0
6,165000,103,40,28,38,1
4,92000,94,67,58,65,1
1,21000,77,97,93,96,0
3,60000,89,78,70,78,0
7,190000,106,30,22,30,1
2,50000,85,87,78,86,0
4,98000,95,62,52,60,1
5,130000,99,50,38,48,1
6,170000,104,38,30,36,1
1,24000,78,95,91,94,0
2,42000,83,89,81,87,0
3,68000,90,74,66,74,1
5,125000,98,53,41,52,1
7,200000,107,28,20,28,1
4,90000,93,68,57,67,1
1,27000,80,93,88,92,0
