priority,distance_km,traffic_level,weather,vehicle_health,fuel_level,warehouse_utilization,delay
1,250,1,0,95,90,55,0
2,400,2,0,90,80,60,0
3,700,3,1,75,65,78,1
1,350,2,0,88,85,52,0
2,800,4,1,70,55,82,1
3,1200,5,2,45,30,95,1
1,180,1,0,97,95,40,0
2,650,3,1,72,60,75,1
3,1500,5,2,35,20,98,1
1,220,1,0,96,92,48,0
2,500,2,1,82,70,66,0
3,1000,4,2,50,35,90,1
1,300,2,0,93,88,50,0
2,750,3,1,68,58,80,1
3,1300,5,2,40,25,96,1
1,275,1,0,94,91,47,0
2,620,2,1,79,67,71,0
3,1450,5,2,38,22,97,1
1,310,2,0,91,84,53,0
2,850,4,1,65,50,88,1
3,1600,5,2,30,18,99,1
1,260,1,0,98,96,42,0
2,560,2,1,81,69,69,0
3,1100,4,2,48,32,92,1
1,290,2,0,92,87,51,0
2,780,3,1,69,57,84,1
3,1400,5,2,37,24,98,1
1,240,1,0,95,93,45,0
2,690,3,1,74,63,77,1
3,1250,4,2,44,28,94,1
